dataset,method,test_acc_median,test_mcc_median,depth_median,n_leaves_median,fit_time_median
Rectangular,UGES_1,0.76,0.02,4.0,8.5,0.01
Rectangular,UGES_d,0.75,0.0,3.0,8.0,0.013
Sine Cosine,IGES,0.57,0.14,8.5,69.5,0.485
Sine Cosine,IGES_1,0.57,0.14,8.5,69.5,0.477
Sine Cosine,IGES_d,0.58,0.17,8.0,65.5,0.869
Sine Cosine,ILES,0.55,0.13,5.0,21.0,0.342
Sine Cosine,ILES_1,0.55,0.13,5.0,21.0,0.271
Sine Cosine,ILES_d,0.55,0.12,4.5,17.0,0.623
Sine Cosine,MD_scikit,0.56,0.13,24.5,255.0,0.003
Sine Cosine,MD_scikit_1,0.56,0.13,24.5,255.0,0.003
Sine Cosine,MD_scikit_d,0.55,0.11,22.0,223.5,0.003
Sine Cosine,UGES,0.57,0.14,6.0,25.5,0.016
Sine Cosine,UGES_1,0.57,0.14,6.0,25.5,0.017
Sine Cosine,UGES_d,0.59,0.18,5.0,21.0,0.018
