dataset,method,test_acc_median,test_mcc_median,depth_median,n_leaves_median,fit_time_median
Circular Smooth,ILES_d,0.79,0.47,4.2,15.0,11.917
Circular Smooth,MD_scikit,0.77,0.41,18.6,173.7,0.112
Circular Smooth,MD_scikit_1,0.77,0.41,18.6,173.7,0.111
Circular Smooth,MD_scikit_d,0.76,0.4,17.1,149.1,0.149
Circular Smooth,UGES,0.79,0.47,4.0,13.8,0.364
Circular Smooth,UGES_1,0.79,0.47,4.0,13.8,0.386
Circular Smooth,UGES_d,0.79,0.48,4.0,13.7,0.41
Rectangular,IGES,0.76,0.19,6.3,40.6,9.225
Rectangular,IGES_1,0.76,0.19,6.3,40.6,8.937
Rectangular,IGES_d,0.77,0.21,5.5,29.6,15.33
Rectangular,ILES,0.76,0.0,3.5,11.1,5.488
Rectangular,ILES_1,0.76,0.0,3.5,11.1,5.461
Rectangular,ILES_d,0.76,0.0,3.2,9.3,10.426
Rectangular,MD_scikit,0.73,0.15,20.8,203.7,0.116
Rectangular,MD_scikit_1,0.73,0.15,20.8,203.7,0.126
Rectangular,MD_scikit_d,0.72,0.14,19.2,176.3,0.164
Rectangular,UGES,0.76,0.0,3.0,7.9,0.319
Rectangular,UGES_1,0.76,0.0,3.0,7.9,0.329
Rectangular,UGES_d,0.76,0.0,3.0,7.8,0.338
Sine Cosine,IGES,0.62,0.24,8.2,60.2,11.206
Sine Cosine,IGES_1,0.62,0.24,8.2,60.2,10.785
Sine Cosine,IGES_d,0.62,0.25,6.9,42.6,17.421
Sine Cosine,ILES,0.59,0.18,5.0,19.1,6.749
Sine Cosine,ILES_1,0.59,0.18,5.0,19.1,6.867
Sine Cosine,ILES_d,0.61,0.23,4.4,15.1,12.931
Sine Cosine,MD_scikit,0.58,0.17,23.9,256.7,0.14
Sine Cosine,MD_scikit_1,0.58,0.17,23.9,256.7,0.14
Sine Cosine,MD_scikit_d,0.58,0.16,21.4,220.7,0.186
Sine Cosine,UGES,0.6,0.2,4.0,13.9,0.444
Sine Cosine,UGES_1,0.6,0.2,4.0,13.9,0.476
Sine Cosine,UGES_d,0.61,0.23,4.0,13.1,0.445
