dataset,method,test_acc_median,test_mcc_median,depth_median,n_leaves_median,fit_time_median
Rectangular,UGES_1,0.73,0.0,6.0,30.6,0.477
Rectangular,UGES_d,0.74,0.0,4.0,11.8,3.926
Sine Cosine,IGES,0.5,0.0,8.9,72.7,71.542
Sine Cosine,IGES_1,0.5,0.01,11.7,134.9,10.712
Sine Cosine,IGES_d,0.5,0.01,7.7,51.4,634.407
Sine Cosine,ILES,0.5,0.0,3.9,12.6,47.576
Sine Cosine,ILES_1,0.5,0.0,5.4,23.2,5.667
Sine Cosine,ILES_d,0.5,0.0,3.1,8.1,434.746
Sine Cosine,MD_scikit,0.5,0.0,17.9,136.5,0.422
Sine Cosine,MD_scikit_1,0.5,-0.0,22.9,256.7,0.111
Sine Cosine,MD_scikit_d,0.5,0.01,17.3,97.1,3.51
Sine Cosine,UGES,0.5,0.0,4.0,13.4,0.629
Sine Cosine,UGES_1,0.5,0.0,5.0,20.6,0.372
Sine Cosine,UGES_d,0.5,0.0,3.0,7.7,2.459
