dataset,method,test_acc_median,test_mcc_median,depth_median,n_leaves_median,fit_time_median
Rectangular,UGES_1,0.75,0.0,4.0,13.3,0.262
Rectangular,UGES_d,0.76,0.03,3.0,7.9,0.243
Sine Cosine,IGES,0.62,0.24,8.2,60.2,10.235
Sine Cosine,IGES_1,0.62,0.24,8.2,60.2,10.162
Sine Cosine,IGES_d,0.62,0.25,6.9,42.6,17.582
Sine Cosine,ILES,0.59,0.18,5.0,19.1,7.414
Sine Cosine,ILES_1,0.59,0.18,5.0,19.1,7.42
Sine Cosine,ILES_d,0.61,0.23,4.4,15.1,14.2
Sine Cosine,MD_scikit,0.58,0.17,23.9,256.7,0.106
Sine Cosine,MD_scikit_1,0.58,0.17,23.9,256.7,0.103
Sine Cosine,MD_scikit_d,0.58,0.16,21.4,220.7,0.14
Sine Cosine,UGES,0.6,0.2,4.0,13.9,0.335
Sine Cosine,UGES_1,0.6,0.2,4.0,13.9,0.328
Sine Cosine,UGES_d,0.61,0.23,4.0,13.1,0.306
