dataset,method,test_acc_median,test_mcc_median,depth_median,n_leaves_median,fit_time_median
Add. H.I. Jump,IGES,0.78,0.57,15.0,126.7,43.26
Add. H.I. Jump,IGES_1,0.67,0.34,20.3,235.1,12.694
Add. H.I. Jump,IGES_d,0.81,0.63,9.5,59.0,220.211
Add. H.I. Jump,ILES,0.76,0.53,6.6,49.9,34.285
Add. H.I. Jump,ILES_1,0.66,0.32,9.8,114.6,8.496
Add. H.I. Jump,ILES_d,0.82,0.64,4.0,15.0,166.331
Add. H.I. Jump,MD_scikit,0.8,0.6,15.2,126.6,0.247
Add. H.I. Jump,MD_scikit_1,0.69,0.39,20.3,233.1,0.106
Add. H.I. Jump,MD_scikit_d,0.81,0.63,15.0,79.4,1.168
Add. H.I. Jump,UGES,0.8,0.6,6.0,40.0,0.83
Add. H.I. Jump,UGES_1,0.7,0.4,9.0,102.6,0.781
Add. H.I. Jump,UGES_d,0.81,0.64,4.0,15.0,1.564
Add. Het.,IGES,0.81,0.62,15.2,120.8,43.853
Add. Het.,IGES_1,0.7,0.39,21.3,234.9,13.474
Add. Het.,IGES_d,0.84,0.67,11.5,67.5,227.069
Add. Het.,ILES,0.8,0.59,7.6,61.0,36.4
Add. Het.,ILES_1,0.69,0.38,11.7,141.6,9.328
Add. Het.,ILES_d,0.83,0.67,4.7,22.0,177.738
Add. Het.,MD_scikit,0.82,0.65,15.1,120.0,0.249
Add. Het.,MD_scikit_1,0.74,0.48,21.1,231.0,0.11
Add. Het.,MD_scikit_d,0.84,0.67,12.5,70.1,1.069
Add. Het.,UGES,0.82,0.64,7.0,52.0,1.048
Add. Het.,UGES_1,0.74,0.49,11.0,132.3,0.993
Add. Het.,UGES_d,0.84,0.67,5.0,25.2,2.236
Add. Jump,IGES,0.88,0.75,12.7,89.6,38.529
Add. Jump,IGES_1,0.77,0.53,17.8,198.4,11.1
Add. Jump,IGES_d,0.89,0.77,5.8,24.6,186.648
Add. Jump,ILES,0.87,0.73,6.4,44.8,32.653
Add. Jump,ILES_1,0.76,0.5,9.8,126.4,8.076
Add. Jump,ILES_d,0.89,0.77,2.7,6.6,145.894
Add. Jump,MD_scikit,0.89,0.77,13.0,87.7,0.221
Add. Jump,MD_scikit_1,0.81,0.6,17.7,193.4,0.1
Add. Jump,MD_scikit_d,0.89,0.77,11.2,46.3,1.003
Add. Jump,UGES,0.88,0.76,6.0,36.9,0.79
Add. Jump,UGES_1,0.8,0.58,9.0,109.5,0.781
Add. Jump,UGES_d,0.89,0.77,3.0,7.5,0.978
Add. Smooth,IGES,0.7,0.4,11.3,109.9,42.311
Add. Smooth,IGES_1,0.64,0.29,20.8,238.8,13.363
Add. Smooth,IGES_d,0.72,0.44,5.9,37.1,191.737
Add. Smooth,ILES,0.69,0.38,5.6,29.8,31.981
Add. Smooth,ILES_1,0.64,0.29,8.6,71.8,8.057
Add. Smooth,ILES_d,0.71,0.44,3.0,8.3,150.159
Add. Smooth,MD_scikit,0.7,0.41,15.9,136.6,0.258
Add. Smooth,MD_scikit_1,0.66,0.32,21.6,240.2,0.109
Add. Smooth,MD_scikit_d,0.71,0.42,14.0,93.0,1.125
Add. Smooth,UGES,0.7,0.41,5.0,23.4,0.631
Add. Smooth,UGES_1,0.67,0.34,8.0,64.4,0.64
Add. Smooth,UGES_d,0.72,0.44,3.0,8.0,0.987
Circular,IGES,0.74,0.21,6.4,42.4,7.534
Circular,IGES_1,0.74,0.21,6.4,42.4,7.563
Circular,IGES_d,0.74,0.22,5.5,31.2,13.298
Circular,ILES,0.73,0.0,3.6,12.0,5.395
Circular,ILES_1,0.73,0.0,3.6,12.0,5.43
Circular,ILES_d,0.74,0.0,3.3,9.8,10.436
Circular,MD_scikit,0.71,0.15,21.2,213.3,0.107
Circular,MD_scikit_1,0.71,0.15,21.2,213.3,0.103
Circular,MD_scikit_d,0.7,0.15,19.5,184.7,0.143
Circular,UGES,0.73,0.0,3.0,7.9,0.261
Circular,UGES_1,0.73,0.0,3.0,7.9,0.259
Circular,UGES_d,0.73,0.0,3.0,7.8,0.246
Circular Smooth,IGES,0.79,0.47,7.1,51.7,7.626
Circular Smooth,IGES_1,0.79,0.47,7.1,51.7,7.535
Circular Smooth,IGES_d,0.79,0.47,6.0,35.1,13.338
Circular Smooth,ILES,0.78,0.47,4.9,21.9,5.899
Circular Smooth,ILES_1,0.78,0.47,4.9,21.9,5.949
Circular Smooth,ILES_d,0.79,0.47,4.2,15.0,11.098
Circular Smooth,MD_scikit,0.77,0.41,18.6,173.7,0.098
Circular Smooth,MD_scikit_1,0.77,0.41,18.6,173.7,0.095
Circular Smooth,MD_scikit_d,0.76,0.4,17.1,149.1,0.128
Circular Smooth,UGES,0.79,0.47,4.0,13.8,0.292
Circular Smooth,UGES_1,0.79,0.47,4.0,13.8,0.289
Circular Smooth,UGES_d,0.79,0.48,4.0,13.7,0.328
Rectangular,IGES,0.76,0.07,6.2,37.4,7.285
Rectangular,IGES_1,0.76,0.07,6.2,37.4,7.15
Rectangular,IGES_d,0.76,0.12,5.5,28.2,12.954
Rectangular,ILES,0.76,0.0,3.1,9.4,4.841
Rectangular,ILES_1,0.76,0.0,3.1,9.4,4.839
Rectangular,ILES_d,0.76,0.0,2.8,7.9,9.416
Rectangular,MD_scikit,0.73,0.11,21.2,204.3,0.105
Rectangular,MD_scikit_1,0.73,0.11,21.2,204.3,0.103
Rectangular,MD_scikit_d,0.72,0.11,19.7,176.5,0.143
Rectangular,UGES,0.76,0.0,3.0,7.6,0.219
Rectangular,UGES_1,0.76,0.0,3.0,7.6,0.216
Rectangular,UGES_d,0.76,0.0,3.0,7.5,0.225
Sine Cosine,IGES,0.62,0.24,8.2,60.2,8.798
Sine Cosine,IGES_1,0.62,0.24,8.2,60.2,8.752
Sine Cosine,IGES_d,0.62,0.25,6.9,42.6,14.828
Sine Cosine,ILES,0.59,0.18,5.0,19.1,6.184
Sine Cosine,ILES_1,0.59,0.18,5.0,19.1,6.231
Sine Cosine,ILES_d,0.61,0.23,4.4,15.1,11.812
Sine Cosine,MD_scikit,0.58,0.17,23.9,256.7,0.114
Sine Cosine,MD_scikit_1,0.58,0.17,23.9,256.7,0.112
Sine Cosine,MD_scikit_d,0.58,0.16,21.4,220.7,0.154
Sine Cosine,UGES,0.6,0.2,4.0,13.9,0.336
Sine Cosine,UGES_1,0.6,0.2,4.0,13.9,0.335
Sine Cosine,UGES_d,0.61,0.23,4.0,13.1,0.32
